month,category,total_spend,month_dt
2025-01,Client Entertainment,17356982.0,2025-01-01
2025-01,Consulting,7043176.05,2025-01-01
2025-01,Equipment,8775681.13,2025-01-01
2025-01,Office Supplies,11103080.38,2025-01-01
2025-01,Software,5958963.58,2025-01-01
2025-01,Travel,9027891.03,2025-01-01
2025-01,Utilities,10669634.69,2025-01-01
2025-02,Client Entertainment,16450502.91,2025-02-01
2025-02,Consulting,6389701.51,2025-02-01
2025-02,Equipment,7628323.47,2025-02-01
2025-02,Office Supplies,8704332.14,2025-02-01
2025-02,Software,4975495.63,2025-02-01
2025-02,Travel,7048805.29,2025-02-01
2025-02,Utilities,8535830.81,2025-02-01
2025-03,Client Entertainment,15169142.36,2025-03-01
2025-03,Consulting,5800188.01,2025-03-01
2025-03,Equipment,8845981.28,2025-03-01
2025-03,Office Supplies,8504784.85,2025-03-01
2025-03,Software,5139060.15,2025-03-01
2025-03,Travel,7245770.41,2025-03-01
2025-03,Utilities,10222851.79,2025-03-01
2025-04,Client Entertainment,15641764.92,2025-04-01
2025-04,Consulting,7139343.36,2025-04-01
2025-04,Equipment,6932511.35,2025-04-01
2025-04,Office Supplies,10124029.75,2025-04-01
2025-04,Software,4771596.57,2025-04-01
2025-04,Travel,7382701.87,2025-04-01
2025-04,Utilities,8471748.03,2025-04-01
2025-05,Client Entertainment,16347815.12,2025-05-01
2025-05,Consulting,6626132.7700000005,2025-05-01
2025-05,Equipment,8843094.51,2025-05-01
2025-05,Office Supplies,10522575.540000001,2025-05-01
2025-05,Software,6336570.32,2025-05-01
2025-05,Travel,7853893.4,2025-05-01
2025-05,Utilities,9479737.65,2025-05-01
2025-06,Client Entertainment,16547861.69,2025-06-01
2025-06,Consulting,6173632.27,2025-06-01
2025-06,Equipment,8101752.08,2025-06-01
2025-06,Office Supplies,8965018.44,2025-06-01
2025-06,Software,5705865.93,2025-06-01
2025-06,Travel,7150733.56,2025-06-01
2025-06,Utilities,9090277.36,2025-06-01
2025-07,Client Entertainment,16181870.85,2025-07-01
2025-07,Consulting,7165434.53,2025-07-01
2025-07,Equipment,7852436.67,2025-07-01
2025-07,Office Supplies,10396173.93,2025-07-01
2025-07,Software,4860813.97,2025-07-01
2025-07,Travel,7219977.25,2025-07-01
2025-07,Utilities,9339574.98,2025-07-01
2025-08,Client Entertainment,16847011.31,2025-08-01
2025-08,Consulting,6771989.13,2025-08-01
2025-08,Equipment,8863912.94,2025-08-01
2025-08,Office Supplies,11132620.01,2025-08-01
2025-08,Software,5063076.48,2025-08-01
2025-08,Travel,7429899.26,2025-08-01
2025-08,Utilities,9840486.53,2025-08-01
2025-09,Client Entertainment,19976486.7,2025-09-01
2025-09,Consulting,6752691.91,2025-09-01
2025-09,Equipment,8668211.82,2025-09-01
2025-09,Office Supplies,11143062.6,2025-09-01
2025-09,Software,4473526.08,2025-09-01
2025-09,Travel,7288472.48,2025-09-01
2025-09,Utilities,10479405.03,2025-09-01
2025-10,Client Entertainment,19721175.66,2025-10-01
2025-10,Consulting,6872082.63,2025-10-01
2025-10,Equipment,8653538.21,2025-10-01
2025-10,Office Supplies,9963457.89,2025-10-01
2025-10,Software,5980789.54,2025-10-01
2025-10,Travel,8064622.7299999995,2025-10-01
2025-10,Utilities,9923256.51,2025-10-01
2025-11,Client Entertainment,14160177.46,2025-11-01
2025-11,Consulting,6722780.11,2025-11-01
2025-11,Equipment,8167022.35,2025-11-01
2025-11,Office Supplies,9639055.66,2025-11-01
2025-11,Software,5627962.95,2025-11-01
2025-11,Travel,7083148.28,2025-11-01
2025-11,Utilities,9326334.0,2025-11-01
2025-12,Client Entertainment,16562638.45,2025-12-01
2025-12,Consulting,7105649.45,2025-12-01
2025-12,Equipment,8538921.16,2025-12-01
2025-12,Office Supplies,10042765.87,2025-12-01
2025-12,Software,5908029.28,2025-12-01
2025-12,Travel,7601166.29,2025-12-01
2025-12,Utilities,11227121.74,2025-12-01
2026-01,Client Entertainment,17801480.1,2026-01-01
2026-01,Consulting,6399670.96,2026-01-01
2026-01,Equipment,9485543.54,2026-01-01
2026-01,Office Supplies,9387860.57,2026-01-01
2026-01,Software,5873510.4,2026-01-01
2026-01,Travel,9845785.73,2026-01-01
2026-01,Utilities,9438203.62,2026-01-01
2026-02,Client Entertainment,15544483.35,2026-02-01
2026-02,Consulting,6836270.29,2026-02-01
2026-02,Equipment,6845711.59,2026-02-01
2026-02,Office Supplies,9198602.16,2026-02-01
2026-02,Software,4155707.24,2026-02-01
2026-02,Travel,7179327.5200000005,2026-02-01
2026-02,Utilities,8846060.83,2026-02-01
2026-03,Client Entertainment,18301149.66,2026-03-01
2026-03,Consulting,6201529.86,2026-03-01
2026-03,Equipment,8442257.53,2026-03-01
2026-03,Office Supplies,10371531.709999999,2026-03-01
2026-03,Software,5051936.99,2026-03-01
2026-03,Travel,7715283.98,2026-03-01
2026-03,Utilities,9095920.33,2026-03-01
2026-04,Client Entertainment,16833276.42,2026-04-01
2026-04,Consulting,6621384.2,2026-04-01
2026-04,Equipment,7836228.8,2026-04-01
2026-04,Office Supplies,9114763.1,2026-04-01
2026-04,Software,5010664.28,2026-04-01
2026-04,Travel,7660549.67,2026-04-01
2026-04,Utilities,10064531.99,2026-04-01
2026-05,Client Entertainment,16906268.74,2026-05-01
2026-05,Consulting,7308411.51,2026-05-01
2026-05,Equipment,7883285.29,2026-05-01
2026-05,Office Supplies,10339749.81,2026-05-01
2026-05,Software,5822693.27,2026-05-01
2026-05,Travel,7366890.44,2026-05-01
2026-05,Utilities,9484356.79,2026-05-01
2026-06,Client Entertainment,17457698.75,2026-06-01
2026-06,Consulting,6207186.23,2026-06-01
2026-06,Equipment,7957676.33,2026-06-01
2026-06,Office Supplies,10179711.66,2026-06-01
2026-06,Software,4643187.03,2026-06-01
2026-06,Travel,7808195.18,2026-06-01
2026-06,Utilities,9874386.43,2026-06-01
2026-07,Client Entertainment,18465737.78,2026-07-01
2026-07,Consulting,7622968.39,2026-07-01
2026-07,Equipment,7738868.33,2026-07-01
2026-07,Office Supplies,9763975.54,2026-07-01
2026-07,Software,5461779.77,2026-07-01
2026-07,Travel,7343487.42,2026-07-01
2026-07,Utilities,10446390.75,2026-07-01
