month,department,total_spend,month_dt
2025-01,Engineering,15907859.88,2025-01-01
2025-01,Finance,8038738.01,2025-01-01
2025-01,HR,15405245.62,2025-01-01
2025-01,Marketing,9078493.48,2025-01-01
2025-01,Operations,9761363.78,2025-01-01
2025-01,Sales,11743708.09,2025-01-01
2025-02,Engineering,13750082.37,2025-02-01
2025-02,Finance,7224057.05,2025-02-01
2025-02,HR,12119207.03,2025-02-01
2025-02,Marketing,8030366.0,2025-02-01
2025-02,Operations,10186684.8,2025-02-01
2025-02,Sales,8422594.51,2025-02-01
2025-03,Engineering,14369340.41,2025-03-01
2025-03,Finance,7708660.9,2025-03-01
2025-03,HR,12184222.02,2025-03-01
2025-03,Marketing,7986132.57,2025-03-01
2025-03,Operations,9139996.33,2025-03-01
2025-03,Sales,9539426.62,2025-03-01
2025-04,Engineering,13401537.05,2025-04-01
2025-04,Finance,7950147.35,2025-04-01
2025-04,HR,13000553.52,2025-04-01
2025-04,Marketing,7646289.61,2025-04-01
2025-04,Operations,9377914.03,2025-04-01
2025-04,Sales,9087254.290000001,2025-04-01
2025-05,Engineering,15540871.02,2025-05-01
2025-05,Finance,7053797.27,2025-05-01
2025-05,HR,13688371.12,2025-05-01
2025-05,Marketing,8694655.83,2025-05-01
2025-05,Operations,9622497.31,2025-05-01
2025-05,Sales,11409626.76,2025-05-01
2025-06,Engineering,14464855.52,2025-06-01
2025-06,Finance,7403768.62,2025-06-01
2025-06,HR,12700227.24,2025-06-01
2025-06,Marketing,8431512.07,2025-06-01
2025-06,Operations,9065663.13,2025-06-01
2025-06,Sales,9669114.75,2025-06-01
2025-07,Engineering,14272399.92,2025-07-01
2025-07,Finance,7693794.34,2025-07-01
2025-07,HR,11652353.39,2025-07-01
2025-07,Marketing,8923339.43,2025-07-01
2025-07,Operations,9391945.48,2025-07-01
2025-07,Sales,11082449.62,2025-07-01
2025-08,Engineering,15093189.6,2025-08-01
2025-08,Finance,7857983.81,2025-08-01
2025-08,HR,13216568.68,2025-08-01
2025-08,Marketing,8095967.6,2025-08-01
2025-08,Operations,9532310.61,2025-08-01
2025-08,Sales,12152975.36,2025-08-01
2025-09,Engineering,16502434.15,2025-09-01
2025-09,Finance,8805921.11,2025-09-01
2025-09,HR,15469105.28,2025-09-01
2025-09,Marketing,8416067.87,2025-09-01
2025-09,Operations,9085036.56,2025-09-01
2025-09,Sales,10503291.65,2025-09-01
2025-10,Engineering,16544646.040000001,2025-10-01
2025-10,Finance,8300902.97,2025-10-01
2025-10,HR,14921062.21,2025-10-01
2025-10,Marketing,10053177.3,2025-10-01
2025-10,Operations,8943972.44,2025-10-01
2025-10,Sales,10415162.21,2025-10-01
2025-11,Engineering,13623197.6,2025-11-01
2025-11,Finance,8735402.26,2025-11-01
2025-11,HR,11929836.06,2025-11-01
2025-11,Marketing,8279892.62,2025-11-01
2025-11,Operations,8223460.56,2025-11-01
2025-11,Sales,9934691.709999999,2025-11-01
2025-12,Engineering,15588411.32,2025-12-01
2025-12,Finance,8282896.37,2025-12-01
2025-12,HR,14313522.83,2025-12-01
2025-12,Marketing,9093619.87,2025-12-01
2025-12,Operations,9904144.370000001,2025-12-01
2025-12,Sales,9803697.48,2025-12-01
2026-01,Engineering,15068204.73,2026-01-01
2026-01,Finance,8326765.85,2026-01-01
2026-01,HR,14987903.71,2026-01-01
2026-01,Marketing,10138039.44,2026-01-01
2026-01,Operations,9980233.78,2026-01-01
2026-01,Sales,9730907.41,2026-01-01
2026-02,Engineering,12923541.65,2026-02-01
2026-02,Finance,7351823.9399999995,2026-02-01
2026-02,HR,12612316.68,2026-02-01
2026-02,Marketing,8245111.16,2026-02-01
2026-02,Operations,8349516.64,2026-02-01
2026-02,Sales,9123852.91,2026-02-01
2026-03,Engineering,15365082.54,2026-03-01
2026-03,Finance,7502587.8,2026-03-01
2026-03,HR,13751292.93,2026-03-01
2026-03,Marketing,9566901.15,2026-03-01
2026-03,Operations,9123591.23,2026-03-01
2026-03,Sales,9870154.41,2026-03-01
2026-04,Engineering,15213906.03,2026-04-01
2026-04,Finance,8607753.46,2026-04-01
2026-04,HR,13245014.38,2026-04-01
2026-04,Marketing,7925886.03,2026-04-01
2026-04,Operations,8761599.44,2026-04-01
2026-04,Sales,9387239.12,2026-04-01
2026-05,Engineering,16555484.57,2026-05-01
2026-05,Finance,7671177.75,2026-05-01
2026-05,HR,13060819.24,2026-05-01
2026-05,Marketing,9226258.21,2026-05-01
2026-05,Operations,8351455.9,2026-05-01
2026-05,Sales,10246460.18,2026-05-01
2026-06,Engineering,14376117.3,2026-06-01
2026-06,Finance,9638311.87,2026-06-01
2026-06,HR,13103082.19,2026-06-01
2026-06,Marketing,8865621.57,2026-06-01
2026-06,Operations,8943613.7,2026-06-01
2026-06,Sales,9201294.98,2026-06-01
2026-07,Engineering,15715565.63,2026-07-01
2026-07,Finance,8681358.48,2026-07-01
2026-07,HR,15168591.56,2026-07-01
2026-07,Marketing,8047533.7,2026-07-01
2026-07,Operations,9174205.84,2026-07-01
2026-07,Sales,10055952.77,2026-07-01
