month,total_spend,month_dt
2025-01,69935408.86,2025-01-01
2025-02,59732991.76,2025-02-01
2025-03,60927778.85,2025-03-01
2025-04,60463695.85,2025-04-01
2025-05,66009819.31,2025-05-01
2025-06,61735141.33,2025-06-01
2025-07,63016282.18,2025-07-01
2025-08,65948995.66,2025-08-01
2025-09,68781856.62,2025-09-01
2025-10,69178923.17,2025-10-01
2025-11,60726480.81,2025-11-01
2025-12,66986292.24,2025-12-01
2026-01,68232054.92,2026-01-01
2026-02,58606162.98,2026-02-01
2026-03,65179610.06,2026-03-01
2026-04,63141398.46,2026-04-01
2026-05,65111655.85,2026-05-01
2026-06,64128041.61,2026-06-01
2026-07,66843207.98,2026-07-01
