transaction_id,timestamp,amount,employee_id,department,vendor_id,category,risk_score,risk_tier,anomaly_type,true_risk,comp_A,comp_I,comp_B,comp_C
TX335BDA78,2025-11-07 18:04:00,206805.76,EMP0142,Marketing,VEN031,Software,80.65,CRITICAL,employee_behavior_anomaly,True,0.951625299269344,0.7811652887371537,1.0,0.0
TX087181E7,2026-01-15 12:20:00,1303350.63,EMP0095,Marketing,VEN046,Travel,75.02,CRITICAL,employee_behavior_anomaly,True,0.9733086494062738,1.0,0.29793261764967016,0.0
TXC6D52791,2025-01-24 12:17:00,461832.14,EMP0181,Sales,VEN037,Utilities,73.28,HIGH,employee_behavior_anomaly,True,0.9836281235732044,0.8766702117202763,0.4082317955349,0.0
TXA068A088,2025-10-03 16:27:00,195548.8,EMP0032,Sales,VEN019,Software,72.9,HIGH,employee_behavior_anomaly,True,0.9455769853237327,0.7745119882390387,0.6347205413603495,0.0
TXEC29A114,2025-01-31 12:37:00,145974.67,EMP0148,Engineering,VEN031,Software,71.5,HIGH,employee_behavior_anomaly,True,0.9008374759170548,0.7397564387378378,0.7037773381707563,0.0
TXC8BFCAD2,2026-06-17 11:20:00,1236788.36,EMP0140,Finance,VEN058,Client Entertainment,70.89,HIGH,amount_anomaly,True,0.9694264347379381,0.9937686307706358,0.10895879546767238,0.0
TX54F62CFC,2025-12-15 18:06:00,1091688.1,EMP0133,Operations,VEN014,Utilities,70.46,HIGH,amount_anomaly,True,0.9917251350129003,0.9789341340197562,0.074342766426502,0.0
TX2223809D,2026-03-09 14:43:00,1017164.95,EMP0172,Engineering,VEN010,Office Supplies,70.0,HIGH,amount_anomaly,True,0.98428629570363,0.9705291072223631,0.07911881620812249,0.0
TX61695F8E,2026-02-01 15:52:00,376090.38,EMP0177,Sales,VEN022,Travel,68.63,HIGH,amount_anomaly,True,1.0,0.852257054197893,0.10668131901742778,0.16666666666666666
TX6CABF131,2025-08-24 15:41:00,548418.02,EMP0102,Engineering,VEN010,Office Supplies,68.35,HIGH,vendor_anomaly,True,0.9843384241809604,0.8970968943034836,0.041719050940309754,0.16666666666666666
TX84FC5D58,2026-01-26 09:45:00,582499.47,EMP0147,Marketing,VEN053,Travel,68.21,HIGH,employee_behavior_anomaly,True,0.9860700395202117,0.9042637993337463,0.10241206425497422,0.0
TX729CC255,2025-10-17 11:01:00,662350.31,EMP0208,Marketing,VEN017,Office Supplies,68.03,HIGH,amount_anomaly,True,0.9721091979978252,0.9195349690343085,0.09114111638887572,0.0
