employee_id,department,base_monthly_spend,join_date
EMP0000,Sales,34925.32,2025-10-09
EMP0001,Engineering,21886.33,2025-03-22
EMP0002,Operations,16893.32,2025-08-07
EMP0003,HR,5047.04,2025-03-12
EMP0004,HR,9263.45,2025-07-17
EMP0005,Finance,11933.29,2025-10-15
EMP0006,Sales,22266.01,2025-02-26
EMP0007,Engineering,16161.98,2025-08-22
EMP0008,Marketing,17994.65,2025-10-30
EMP0009,Sales,24829.7,2025-06-16
EMP0010,Operations,29596.14,2025-03-17
EMP0011,Finance,12463.45,2025-05-12
EMP0012,Engineering,34773.59,2025-03-12
EMP0013,Engineering,13497.22,2025-08-24
EMP0014,Engineering,11862.86,2026-01-31
EMP0015,Engineering,9687.76,2025-08-21
EMP0016,Operations,20606.89,2025-04-28
EMP0017,Sales,9797.22,2025-01-10
EMP0018,Finance,7709.42,2025-07-06
EMP0019,HR,12584.62,2025-11-10
EMP0020,Operations,40707.63,2025-09-26
EMP0021,HR,10622.65,2025-07-16
EMP0022,Marketing,18396.28,2025-08-05
EMP0023,Finance,12080.52,2025-07-09
EMP0024,Engineering,12485.25,2025-08-07
EMP0025,Operations,11045.26,2025-07-28
EMP0026,HR,8507.16,2025-05-26
EMP0027,Engineering,19318.12,2025-11-27
EMP0028,Operations,13856.2,2025-05-01
EMP0029,HR,4605.96,2025-08-10
EMP0030,HR,7409.04,2025-02-17
EMP0031,Marketing,42005.24,2025-04-23
EMP0032,Sales,58171.99,2026-01-11
EMP0033,Operations,24518.3,2025-11-04
EMP0034,Finance,9236.3,2026-01-26
EMP0035,Sales,12938.77,2025-04-03
EMP0036,Finance,8534.07,2025-08-07
EMP0037,Engineering,12437.89,2025-05-29
EMP0038,Marketing,60362.38,2026-01-21
EMP0039,Operations,23899.0,2025-05-07
EMP0040,Sales,27187.72,2025-09-06
EMP0041,Engineering,17672.83,2025-07-26
EMP0042,Engineering,13406.2,2025-03-14
EMP0043,HR,7502.46,2025-03-07
EMP0044,Sales,11211.72,2026-01-23
EMP0045,Finance,11684.94,2026-02-01
EMP0046,HR,16926.17,2025-12-05
EMP0047,Finance,10552.6,2025-12-23
EMP0048,Engineering,20470.68,2025-07-07
EMP0049,Engineering,19867.67,2025-05-07
EMP0050,Engineering,14961.12,2025-06-14
EMP0051,Marketing,46249.0,2025-05-30
EMP0052,HR,16635.3,2025-06-01
EMP0053,HR,5514.81,2025-04-15
EMP0054,HR,5206.78,2025-01-13
EMP0055,Sales,56772.87,2025-02-19
EMP0056,Operations,13712.26,2025-10-26
EMP0057,Sales,49148.03,2025-03-13
EMP0058,Engineering,10937.54,2025-04-23
EMP0059,Engineering,24043.6,2025-05-05
EMP0060,Finance,9581.01,2025-07-19
EMP0061,Engineering,16723.63,2025-07-20
EMP0062,HR,10301.14,2025-03-11
EMP0063,Finance,11354.34,2025-04-02
EMP0064,HR,11644.11,2026-01-23
EMP0065,Marketing,33909.02,2025-02-18
EMP0066,Finance,8188.78,2025-11-03
EMP0067,HR,6334.2,2025-08-21
EMP0068,Sales,18306.84,2025-01-11
EMP0069,HR,5294.49,2025-10-14
EMP0070,Engineering,18249.83,2025-06-23
EMP0071,Marketing,48080.77,2025-02-19
EMP0072,HR,7415.38,2026-01-25
EMP0073,Sales,38189.45,2025-05-01
EMP0074,Engineering,22931.78,2025-05-06
EMP0075,HR,8460.62,2026-01-18
EMP0076,Marketing,22264.32,2025-07-19
EMP0077,Marketing,40975.36,2025-01-10
EMP0078,Operations,16384.52,2025-12-03
EMP0079,Engineering,18748.1,2025-02-12
EMP0080,Finance,11914.73,2025-01-03
EMP0081,HR,19067.06,2026-01-22
EMP0082,Sales,13759.9,2025-10-23
EMP0083,Engineering,9316.83,2025-11-18
EMP0084,Operations,11164.03,2025-12-05
EMP0085,Engineering,30969.59,2025-01-08
EMP0086,Sales,14732.36,2025-04-11
EMP0087,Marketing,8667.76,2025-11-15
EMP0088,Engineering,16729.47,2025-11-03
EMP0089,Engineering,14184.13,2025-08-31
EMP0090,HR,6337.47,2025-02-15
EMP0091,Engineering,8161.22,2025-09-18
EMP0092,Finance,6582.6,2025-08-01
EMP0093,HR,5377.67,2025-04-10
EMP0094,Finance,7493.38,2025-12-03
EMP0095,Marketing,231282.92,2025-11-23
EMP0096,Marketing,16343.49,2025-07-10
EMP0097,Engineering,20990.54,2025-08-26
EMP0098,Operations,35601.9,2025-05-08
EMP0099,Sales,19223.62,2025-05-05
EMP0100,Engineering,25538.16,2025-08-28
EMP0101,Marketing,27408.32,2025-03-08
EMP0102,Engineering,16948.03,2025-07-02
EMP0103,Sales,19298.88,2025-02-16
EMP0104,Engineering,15966.57,2025-03-19
EMP0105,Engineering,14019.85,2025-03-11
EMP0106,Engineering,22254.94,2025-07-26
EMP0107,Operations,16212.21,2025-09-30
EMP0108,HR,10359.74,2026-01-29
EMP0109,Engineering,18000.68,2025-07-21
EMP0110,Marketing,21896.69,2025-08-03
EMP0111,Engineering,17228.98,2025-01-18
EMP0112,Operations,42718.6,2025-09-15
EMP0113,HR,10501.97,2025-08-17
EMP0114,Operations,10242.25,2025-01-03
EMP0115,Operations,17092.32,2025-05-30
EMP0116,Sales,11931.91,2025-02-07
EMP0117,Sales,25420.46,2025-11-30
EMP0118,Marketing,47819.87,2025-10-03
EMP0119,Sales,36639.75,2025-02-09
EMP0120,HR,10794.02,2025-04-06
EMP0121,Engineering,14558.65,2026-01-27
EMP0122,Operations,17114.2,2025-09-09
EMP0123,HR,8007.32,2025-09-14
EMP0124,Finance,10608.7,2025-11-27
EMP0125,Operations,16188.99,2025-08-03
EMP0126,Sales,49420.39,2025-11-30
EMP0127,Engineering,16180.21,2025-07-05
EMP0128,Operations,16384.02,2025-04-10
EMP0129,Operations,12454.64,2025-04-17
EMP0130,Operations,6231.95,2025-03-08
EMP0131,Operations,35577.92,2025-06-16
EMP0132,Sales,9463.28,2025-07-22
EMP0133,Operations,12727.79,2025-05-27
EMP0134,Engineering,17510.06,2025-03-15
EMP0135,Marketing,28161.38,2025-10-02
EMP0136,Operations,28733.75,2025-09-26
EMP0137,Sales,57043.48,2026-01-02
EMP0138,HR,14413.85,2025-07-04
EMP0139,HR,18079.86,2025-08-03
EMP0140,Finance,12826.88,2025-03-22
EMP0141,Marketing,28863.47,2025-11-18
EMP0142,Marketing,36547.14,2025-01-29
EMP0143,HR,13370.6,2025-04-26
EMP0144,Finance,7282.61,2025-08-27
EMP0145,Finance,10289.95,2025-10-05
EMP0146,Sales,41897.59,2025-09-12
EMP0147,Marketing,114293.31,2025-02-08
EMP0148,Engineering,25008.62,2025-07-29
EMP0149,Sales,21204.6,2026-01-10
EMP0150,Finance,7298.67,2025-03-09
EMP0151,Marketing,93470.56,2025-11-17
EMP0152,Finance,13749.91,2026-02-03
EMP0153,Marketing,18109.41,2025-11-15
EMP0154,HR,9118.79,2025-10-16
EMP0155,Operations,10723.96,2025-08-25
EMP0156,Sales,26118.6,2025-02-21
EMP0157,Operations,20336.78,2025-08-14
EMP0158,Operations,4770.28,2025-09-29
EMP0159,Engineering,18593.03,2025-07-29
EMP0160,Finance,12714.68,2025-07-27
EMP0161,Operations,5346.44,2025-07-16
EMP0162,HR,7104.89,2025-12-05
EMP0163,HR,4780.7,2025-02-17
EMP0164,HR,16242.06,2025-07-15
EMP0165,Engineering,26346.48,2025-09-21
EMP0166,Marketing,24148.8,2025-03-25
EMP0167,Marketing,70095.22,2025-09-26
EMP0168,HR,9878.65,2025-11-23
EMP0169,Sales,25526.86,2025-11-02
EMP0170,Sales,13683.66,2025-08-01
EMP0171,Sales,20229.77,2025-05-06
EMP0172,Engineering,21389.48,2025-02-04
EMP0173,Engineering,11178.93,2026-01-10
EMP0174,Engineering,17015.38,2025-02-21
EMP0175,HR,6684.49,2025-10-19
EMP0176,Engineering,12433.06,2025-05-25
EMP0177,Sales,35003.72,2025-11-09
EMP0178,Finance,11044.08,2025-09-18
EMP0179,Operations,23021.93,2026-01-30
EMP0180,Finance,14769.03,2025-06-19
EMP0181,Sales,79142.63,2025-02-17
EMP0182,HR,8290.91,2025-02-19
EMP0183,Engineering,37050.66,2025-02-18
EMP0184,HR,7494.32,2025-08-06
EMP0185,HR,15196.19,2025-01-05
EMP0186,Sales,9113.89,2025-06-22
EMP0187,HR,4743.21,2025-04-29
EMP0188,Marketing,20887.68,2025-01-05
EMP0189,Marketing,49208.69,2025-05-01
EMP0190,Engineering,20382.88,2025-08-06
EMP0191,Operations,4725.62,2025-02-14
EMP0192,Operations,15413.24,2025-10-01
EMP0193,HR,10815.48,2025-04-24
EMP0194,Finance,14063.45,2025-09-24
EMP0195,Sales,15282.93,2026-02-04
EMP0196,HR,9511.69,2025-09-07
EMP0197,Sales,24955.86,2025-02-06
EMP0198,HR,11125.62,2025-04-09
EMP0199,Finance,10329.78,2025-04-07
EMP0200,HR,9737.02,2025-11-20
EMP0201,Finance,9583.91,2025-03-21
EMP0202,HR,11086.09,2025-12-30
EMP0203,Engineering,17072.65,2025-01-15
EMP0204,HR,12541.36,2025-11-24
EMP0205,Marketing,15069.02,2025-08-31
EMP0206,Engineering,9238.58,2025-04-26
EMP0207,Finance,8675.5,2025-12-06
EMP0208,Marketing,56967.45,2026-01-23
EMP0209,Engineering,19675.56,2026-01-07
EMP0210,Marketing,71046.84,2025-11-24
EMP0211,Engineering,17448.6,2025-12-02
EMP0212,Engineering,33098.42,2025-08-08
EMP0213,HR,6438.3,2025-09-10
EMP0214,Engineering,13775.5,2025-11-22
EMP0215,Marketing,19649.68,2025-10-21
EMP0216,Sales,18067.83,2025-02-09
EMP0217,Sales,56682.52,2025-10-11
EMP0218,HR,5177.65,2025-07-23
EMP0219,Finance,7642.35,2025-01-22
